time,foot1,foot2,hand1,hand2,pos1,pos2,result,score,bout
1:05:07,,,,,,,,,
1:05:08,,,,,,,,,
1:05:09,,,,,,,,,
1:05:10,ff,ff,,,,,,,
1:05:11,fs,fs,,,,,,,
1:05:12,,,,,,,,,
1:05:13,,,,,,,,,
1:05:14,,,,,,,,,
1:05:15,ff,,,,,,,,
1:05:16,bs,,,,,,,,
1:05:17,,ff,,,,,,,
1:05:18,,as,,,,,,,
1:05:19,,,,,,,,,
1:05:20,,,,,,,,,
1:05:21,,,,,,,,,
1:05:22,,,,,,,,,
1:05:23,,,,,,,,,
1:05:24,,,,,,,,,
1:05:25,,,,,,,,,
1:05:26,,,,,,,,,
1:05:27,,,,,,,,,
1:05:28,,,,,,,,,
1:05:29,,,,,,,,,
1:06:00,,,,,,,,,
1:06:01,,,,,,,,,
1:06:02,,,,,,,,,
1:06:03,bf,af,,,,,,,
1:06:04,bs,,,,,,,,
1:06:05,,,,,,,,,
1:06:06,,bs,,,,,,,
1:06:07,,,,,,,,,
1:06:08,,,,,,,,,
1:06:09,,,,,,,,,
1:06:10,,,,,,,,,
1:06:11,,,,,,,,,
1:06:12,,,,,,,,,
1:06:13,,,,,,,,,
1:06:14,,,,,,,,,
1:06:15,,,,,,,,,
1:06:16,,,,,,,,,
1:06:17,,,,,,,,,
1:06:18,,,,,,,,,
1:06:19,,,,,,,,,
1:06:20,,,,,,,,,
1:06:21,bf,,,,,,,,
1:06:22,,,,,,,,,
1:06:23,,bf,,,,,,,
,,,,,,,a,2,
,,,,,,,,,7
1:16:07,fs,fs,,,,,,,
1:16:08,,,,,,,,,
1:16:09,,,,,,,,,
1:16:10,,,,,,,,,
1:16:11,,,,,,,,,
1:16:12,,,,,,,,,
1:16:13,,,,,,,,,
1:16:14,,,,,,,,,
1:16:15,,,,,,,,,
1:16:16,,,,,,,,,
1:16:17,,,,,,,,,
1:16:18,,,,,,,,,
1:16:19,ff,ff,,,,,,,
1:16:20,fs,fs,,,,,,,
1:16:21,,,,,,,,,
1:16:22,,,,,,,,,
1:16:23,,,,,,,,,
1:16:24,,,,,,,,,
1:16:25,,,,,,,,,
1:16:26,,,,,,,,,
1:16:27,ff,,,,,,,,
1:16:28,bs,ff,,,,,,,
1:16:29,,bs,,,,,,,
1:17:00,,,,,,,,,
1:17:01,,,,,,,,,
1:17:02,,,,,,,,,
1:17:03,,,,,,,,,
1:17:04,,,,,,,,,
1:17:05,,,,,,,,,
1:17:06,,,,,,,,,
1:17:07,bf,,,,,,,,
1:17:08,fs,,,,,,,,
1:17:09,,,,,,,,,
1:17:10,,,,,,,,,
1:17:11,,,,,,,,,
1:17:12,,,,,,,,,
1:17:13,,bf,,,,,,,
1:17:14,,fs,,,,,,,
1:17:15,,,,,,,,,
1:17:16,,,,,,,,,
1:17:17,,,,,,,,,
1:17:18,,,,,,,,,
1:17:19,ff,,,,,,,,
1:17:20,bs,,,,,,,,
1:17:21,,,,,,,,,
1:17:22,,,,,,,,,
1:17:23,,,,,,,,,
1:17:24,,ff,,,,,,,
1:17:25,,fs,,,,,,,
1:17:26,,,,,,,,,
1:17:27,,,,,,,,,
1:17:28,bf,,,,,,,,
1:17:29,bs,,,,,,,,
1:18:00,,,,,,,,,
1:18:01,,,,,,,,,
1:18:02,,,,,,,,,
1:18:03,,,,,,,,,
1:18:04,,,,,,,,,
1:18:05,,,,,,,,,
1:18:06,,,,,,,,,
1:18:07,bf,,,,,,,,
1:18:08,bs,,,,,,,,
1:18:09,,,,,,,,,
1:18:10,,,,,,,,,
1:18:11,,,,,,,,,
