time,foot1,foot2,hand1,hand2,pos1,pos2,ground,result,flow,score,bout
,,,,,,,,,,,1
3:45:27,,,,,,,,,,,
3:45:28,,fs,,,,,,,,,
3:45:29,,,,,,,,,,,
3:46:00,,,,,,,,,,,
3:46:01,,,,,,,,,,,
3:46:02,,,,,,,,,,,
3:46:03,,,,,,,,,,,
3:46:04,,,,,,,,,,,
3:46:05,ff,,,,,,,,,,
3:46:06,fs,,,,,,,,,,
3:46:07,,,,,,,,,,,
3:46:08,,,,,,,,,,,
3:46:09,,ff,,,,,,,,,
3:46:10,,fs,,,,,,,,,
3:46:11,,,,,,,,,,,
3:46:12,,,,,,,,,,,
3:46:13,,ff,,,,,,,,,
3:46:14,,as,,,,,,,,,
3:46:15,,,,,,,,,,,
3:46:16,ff,,,,,,,,,,
3:46:17,as,,,,,,,,,,
3:46:18,,,,as,,,,,,,
3:46:19,,,as,,,,,,,,
3:46:20,,,,,,,,,,,
3:46:21,,,,,,,,,,,
3:46:22,,af,,h,,,,,,,
3:46:23,af,,h,,,,,,,,
,,,,,,,,a,ff1,1,
,,,,,,,,,,,8
4:04:26,fs,,,,,,,,,,
4:04:27,,,,,,,,,,,
4:04:28,,,,,,,,,,,
4:04:29,,fs,,,,,,,,,
4:05:00,,,,,,,,,,,
4:05:01,,,,,,,,,,,
4:05:02,,,,,,,,,,,
4:05:03,,,,,,,,,,,
4:05:04,,,,,,,,,,,
4:05:05,,,,,,,,,,,
4:05:06,,,,,,,,,,,
4:05:07,ff,,,,,,,,,,
4:05:08,as,ff,,,,,,,,,
4:05:09,,fs,,,,,,,,,
4:05:10,,,,,,,,,,,
4:05:11,,,,,,,,,,,
4:05:12,,,,,,,,,,,
4:05:13,,,,,,,,,,,
4:05:14,,,,,,,,,,,
4:05:15,,,,,,,,,,,
4:05:16,,,,,,,,,,,
4:05:17,,ff,as,ps,,,,,,,
4:05:18,,bs,,,,,,,,,
4:05:19,,,,,,,,,,,
4:05:20,af,,hp,p,,,,,,,
4:05:21,,,ps,rs,,,,,,,
4:05:22,,,,,,,,,,,
4:05:23,,,,,,,,,,,
4:05:24,,,,,,,,,,,
4:05:25,,bf,,,,,,,,,
4:05:26,,,,,,,,,,,
4:05:27,,,p,,,,,,,,
4:05:28,,,rs,,,,,,,,
4:05:29,,,,h,,,,,,,
4:06:00,,,,,,,,,,,
4:06:01,,,h,,,,,,,,
,,,,,,,,rr,fbrr,1,
,,,,,,,,,,,9
4:23:11,fs,fs,,,,,,,,,
4:23:12,,,,,,,,,,,
4:23:13,,,,,,,,,,,
4:23:14,,,,,,,,,,,
4:23:15,,,,,,,,,,,
4:23:16,,,,,,,,,,,
4:23:17,,,,,,,,,,,
4:23:18,,,,,,,,,,,
4:23:19,,ff,,,,,,,,,
4:23:20,,fs,,,,,,,,,
4:23:21,ff,,,,,,,,,,
4:23:22,as,,,,,,,,,,
4:23:23,,,,,,,,,,,
4:23:24,,,,,,,,,,,
4:23:25,,,,,,,,,,,
4:23:26,,,,,,,,,,,
4:23:27,,ff,,,,,,,,,
4:23:28,,as,,,,,,,,,
4:23:29,,,,,,,,,,,
4:24:00,,,as,,,,,,,,
4:24:01,,,,,,,,,,,
4:24:02,,,h,as,,,,,,,
4:24:03,,,,,,,,,,,
4:24:04,af,,,,,,,,,,
4:24:05,,,,h,,,,,,,
4:24:06,,af,,,,,,,,,
,,,,,,,,a,ff2,2,
,,,,,,,,,,,10
4:40:04,fs,fs,,,,,,,,,
4:40:05,,,,,,,,,,,
4:40:06,,,,,,,,,,,
4:40:07,,,,,,,,,,,
4:40:08,,,,,,,,,,,
4:40:09,,,,,,,,,,,
4:40:10,,,,,,,,,,,
4:40:11,,,,,,,,,,,
4:40:12,ff,,,,,,,,,,
4:40:13,as,,,,,,,,,,
4:40:14,,,,,,,,,,,
4:40:15,,ff,,,,,,,,,
4:40:16,,as,,,,,,,,,
4:40:17,,,,,,,,,,,
4:40:18,,,,,,,,,,,
4:40:19,,,as,,,,,,,,
