time,foot1,foot2,hand1,hand2,pos1,pos2,ground,result,flow,score,bout,
2:25:09,,,,,,,,,,,,
2:25:10,,,,,,,,,,,,
2:25:11,,,,,,,,,,,,
2:25:12,,,,,,,,,,,,
2:25:13,,,,,,,,,,,,
2:25:14,,,,,,,,,,,,
2:25:15,,,,,,,,,,,,
2:25:16,,,,,,,,,,,,
2:25:17,,ff,,,,,,,,,,
2:25:18,,fs,,,,,,,,,,
2:25:19,bf,,,,,,,,,,,
2:25:20,bs,,,,,,,,,,,
2:25:21,,,,,,,,,,,,
2:25:22,,,,,,,,,,,,
2:25:23,,,,,,,,,,,,
2:25:24,,,,,,,,,,,,
2:25:25,,,,,,,,,,,,
2:25:26,,,,,,,,,,,,
2:25:27,,,,,,,,,,,,
2:25:28,,,,,,,,,,,,
2:25:29,,,,,,,,,,,,
2:26:00,,ff,,,,,,,,,,
2:26:01,bf,as,,,,,,,,,,
2:26:02,bs,,,,,,,,,,,
2:26:03,,,,,,,,,,,,
2:26:04,,,,,,,,,,,,
2:26:05,,,,,,,,,,,,
2:26:06,,,,,,,,,,,,
2:26:07,,,,,,,,,,,,
2:26:08,,,,,,,,,,,,
2:26:09,,,,,,,,,,,,
2:26:10,,,,,,,,,,,,
2:26:11,,,,,,,,,,,,
2:26:12,,,,,,,,,,,,
2:26:13,,,,,,,,,,,,
2:26:14,,,,,,,,,,,,
2:26:15,,,,,,,,,,,,
2:26:16,,,,,,,,,,,,
2:26:17,,,,,,,,,,,,
2:26:18,bf,,ps,as,,,,,,,,
2:26:19,,,,,,,,,,,,
2:26:20,,,,,,,,,,,,
2:26:21,,,,,,,,,,,,
2:26:22,,,,,,,,,,,,
2:26:23,,,,,,,,,,,,
2:26:24,,af,,,,,,,,,,
2:26:25,,,ap,,,,,,,,,
2:26:26,,,rs,h,,,,,,,,
2:26:27,,,,,,,,,,,,
2:26:28,,,,,,,,,,,,
2:26:29,,,,,,,,,,,,
2:27:00,,,,,,,,,,,,
2:27:01,,,h,,,,,,,,,
,,,,,,,,r,bbbfr,1,,
,,,,,,,,,,,10,
3:06:01,fs,fs,,,,,,,,,,
3:06:02,,,,,,,,,,,,
3:06:03,,,,,,,,,,,,
3:06:04,,,,,,,,,,,,
3:06:05,,,,,,,,,,,,
3:06:06,,,,,,,,,,,,
3:06:07,,,,,,,,,,,,
3:06:08,,,,,,,,,,,,
3:06:09,,,,,,,,,,,,
3:06:10,,,,,,,,,,,,
3:06:11,,,,,,,,,,,,
3:06:12,ff,ff,,,,,,,,,,
3:06:13,fs,fs,,,,,,,,,,
3:06:14,,,,,,,,,,,,
3:06:15,,,,,,,,,,,,
3:06:16,,,,,,,,,,,,
3:06:17,,,,,,,,,,,,
3:06:18,,,,,,,,,,,,
3:06:19,ff,ff,,,,,,,,,,
3:06:20,bs,bs,,,,,,,,,,
3:06:21,,,,,,,,,,,,
3:06:22,,bf,,,,,,,,,,
3:06:23,,as,,,,,,,,,,
3:06:24,bf,,,,,,,,,,,
3:06:25,,,,,,,,,,,,
3:06:26,,,,,,,,,,,,
3:06:27,,,,,,,,,,,,
3:06:28,,,,,,,,,,,,
3:06:29,,,,as,,,,,,,,
3:07:00,as,,as,,,,,,,,,
3:07:01,,,,,,,,,,,,
3:07:02,,,,,,,,,,,,
3:07:03,,,,,,,,,,,,
3:07:04,,af,h,h,,,,,,,,
3:07:05,,,,,,,,,,,,
3:07:06,,,,,,,,,,,,
3:07:07,af,,,,,,,,,,,
,,,,,,,,b,bbffb,,,
,,,,,,,,,,,11,
3:28:01,fs,,,,,,,,,,,
3:28:02,,,,,,,,,,,,
3:28:03,,,,,,,,,,,,
3:28:04,,,,,,,,,,,,
3:28:05,,fs,,,,,,,,,,
3:28:06,,,,,,,,,,,,
3:28:07,,,,,,,,,,,,
3:28:08,,,,,,,,,,,,
3:28:09,,,,,,,,,,,,
3:28:10,,,,,,,,,,,,
3:28:11,,,,,,,,,,,,
3:28:12,,,,,,,,,,,,
3:28:13,ff,ff,,,,,,,,,,
3:28:14,fs,fs,,,,,,,,,,
3:28:15,,,,,,,,,,,,
3:28:16,,,,,,,,,,,,
3:28:17,,,,,,,,,,,,
3:28:18,,,,,,,,,,,,
3:28:19,,,,,,,,,,,,
3:28:20,ff,ff,,,,,,,,,,
3:28:21,,,,,,,,,,,,
3:28:22,as,,,,,,,,,,,
3:28:23,,as,,,,,,,,,,
3:28:24,,,,,,,,,,,,
3:28:25,,,,,,,,,,,,
3:28:26,,,,,,,,,,,,
3:28:27,,,,,,,,,,,,
3:28:28,,,as,as,,,,,,,,
3:28:29,,,,,,,,,,,,
3:29:00,,,,h,,,,,,,,
3:29:01,af,af,,,,,,,,,,
3:29:02,,,h,,,,,,,,,
,,,,,,,,a,ff1,1,,
,,,,,,,,,,,12,
4:02:05,fs,,,,,,,,,,,
4:02:06,,,,,,,,,,,,
4:02:07,,,,,,,,,,,,
4:02:08,,fs,,,,,,,,,,
4:02:09,,,,,,,,,,,,
4:02:10,,,,,,,,,,,,
4:02:11,,,,,,,,,,,,
4:02:12,,,,,,,,,,,,
4:02:13,,,,,,,,,,,,
4:02:14,,,,,,,,,,,,
4:02:15,,,,,,,,,,,,
4:02:16,,,,,,,,,,,,
4:02:17,ff,ff,,,,,,,,,,
4:02:18,as,as,,,,,,,,,,
4:02:19,,,,,,,,,,,,
4:02:20,,,,,,,,,,,,
4:02:21,,,,,,,,,,,,
4:02:22,,,,,,,,,,,,
4:02:23,,,,,,,,,,,,
4:02:24,,,,,,,,,,,,
4:02:25,,,as,as,,,,,,,,
4:02:26,,,,,,,,,,,,
4:02:27,,,,,,,,,,,,
4:02:28,,,,,,,,,,,,
4:02:29,,,h,,,,,,,,,
4:03:00,af,,,h,,,,,,,,
4:03:01,,af,,,,,,,,,,
,,,,,,,,a,ff2,2,,
,,,,,,,,,,,13,
4:14:01,fs,,,,,,,,,,,
4:14:02,,,,,,,,,,,,
4:14:03,,,,,,,,,,,,
4:14:04,,,,,,,,,,,,
4:14:05,,fs,,,,,,,,,,
4:14:06,,,,,,,,,,,,
4:14:07,,,,,,,,,,,,
4:14:08,,,,,,,,,,,,
4:14:09,,,,,,,,,,,,
4:14:10,,,,,,,,,,,,
4:14:11,ff,ff,,,,,,,,,,
4:14:12,fs,fs,,,,,,,,,,
4:14:13,,,,,,,,,,,,
4:14:14,,,,,,,,,,,,
4:14:15,,,,,,,,,,,,
4:14:16,,,,,,,,,,,,
4:14:17,,,,,,,,,,,,
4:14:18,ff,,,,,,,,,,,
4:14:19,bs,,,,,,,,,,,
4:14:20,,,,,,,,,,,,
4:14:21,,,,,,,,,,,,
4:14:22,,ff,,,,,,,,,,
4:14:23,,as,,,,,,,,,,
4:14:24,,,,,,,,,,,,
4:14:25,,,,,,,,,,,,
4:14:26,,,,,,,,,,,,
4:14:27,,,,,,,,,,,,
4:14:28,,,,,,,,,,,,
4:14:29,,,,,,,,,,,,
4:15:00,,,ps,as,,,,,,,,
4:15:01,,,,,,,,,,,,
4:15:02,,,,,,,,,,,,
4:15:03,,,,,,,,,,,,
4:15:04,,af,,,,,,,,,,
4:15:05,,,,h,,,,,,,,
4:15:06,bf,,,,,,,,,,,
4:15:07,bs,,pf,,,,,,,,,
4:15:08,,,,,,,,,,,,
4:15:09,,,,,,,,,,,,
4:15:10,,,,,,,,,,,,
4:15:11,,,,,,,,,,,,
4:15:12,,,,,,,,,,,,
4:15:13,,,,,,,,,,,,
4:15:14,,,,,,,,,,,,
4:15:15,,,,,,,,,,,,
4:15:16,bf,,,,,,,,,,,
,,,,,,,,a,bff,2,,
,,,,,,,,,,,14,
4:26:14,fs,,,,,,,,,,,
4:26:15,,,,,,,,,,,,
4:26:16,,,,,,,,,,,,
4:26:17,,,,,,,,,,,,
4:26:18,,,,,,,,,,,,
4:26:19,,fs,,,,,,,,,,
4:26:20,,,,,,,,,,,,
4:26:21,,,,,,,,,,,,
4:26:22,,,,,,,,,,,,
4:26:23,,,,,,,,,,,,
4:26:24,,,,,,,,,,,,
4:26:25,,,,,,,,,,,,
4:26:26,,,,,,,,,,,,
4:26:27,ff,ff,,,,,,,,,,
4:26:28,as,fs,,,,,,,,,,
4:26:29,,,,,,,,,,,,
4:27:00,,,,,,,,,,,,
4:27:01,,,,,,,,,,,,
4:27:02,,,,,,,,,,,,
4:27:03,,,,,,,,,,,,
4:27:04,,,,,,,,,,,,
4:27:05,,,,,,,,,,,,
4:27:06,,,,,,,,,,,,
4:27:07,,,,,,,,,,,,
4:27:08,,,,,,,,,,,,
4:27:09,,ff,,ps,,,,,,,,
4:27:10,,,as,,,,,,,,,
4:27:11,af,,,,,,,,,,,
4:27:12,,bs,,pf,,,,,,,,
4:27:13,,,h,as,,,,,,,,
4:27:14,,,,,,,,,,,,
4:27:15,,,,,,,,,,,,
4:27:16,,,,,,,,,,,,
4:27:17,,,,h,,,,,,,,
4:27:18,,bf,,,,,,,,,,
,,,,,,,,a,fbf,1,,
,,,,,,,,,,,15,
4:48:28,fs,,,,,,,,,,,
4:48:29,,fs,,,,,,,,,,
4:49:00,,,,,,,,,,,,
4:49:01,,,,,,,,,,,,
4:49:02,,,,,,,,,,,,
4:49:03,,,,,,,,,,,,
4:49:04,,,,,,,,,,,,
4:49:05,,,,,,,,,,,,
4:49:06,,,,,,,,,,,,
4:49:07,,,,,,,,,,,,
4:49:08,,,,,,,,,,,,
4:49:09,,,,,,,,,,,,
4:49:10,ff,,,,,,,,,,,
4:49:11,fs,,,,,,,,,,,
4:49:12,,,,,,,,,,,,
4:49:13,,ff,,,,,,,,,,
4:49:14,,fs,,,,,,,,,,
4:49:15,,,,,,,,,,,,
4:49:16,ff,,,,,,,,,,,
