time,foot1,foot2,hand1,hand2,pos1,pos2,parry_pos1,parry_pos2,ground,result,flow,score,bout,
5:54:12,,,h,,6,,,,,,,,,
5:54:13,,,,,,,,,,,,,,
5:54:14,,,,,,,,,,,,,,
5:54:15,,,,,,,,,,,,,,
5:54:16,,,,,,,,,,,,,,
5:54:17,bf,,,,,,,,,,,,,
,,,,,,,,,,a,bbfbbbff,2,,
,,,,,,,,,,,,,12,
6:15:04,fs,fs,,,,,,,,,,,,
6:15:05,,,,,,,,,,,,,,
6:15:06,,,,,,,,,,,,,,
6:15:07,,,,,,,,,,,,,,
6:15:08,,,,,,,,,,,,,,
6:15:09,,,,,,,,,,,,,,
6:15:10,,,,,,,,,,,,,,
6:15:11,,,,,,,,,,,,,,
6:15:12,ff,,,,,,,,,,,,,
6:15:13,as,,,,,,,,,,,,,
6:15:14,,,,,,,,,,,,,,
6:15:15,,ff,,,,,,,,,,,,
6:15:16,,as,,,,,,,,,,,,
6:15:17,,,,,,,,,,,,,,
6:15:18,,,,,,,,,,,,,,
6:15:19,,,,,,,,,,,,,,
6:15:20,,,as,,,,,,,,,,,
6:15:21,,,,,,,,,,,,,,
6:15:22,,,,as,,,,,,,,,,
6:15:23,,,,,,,,,,,,,,
6:15:24,,,h,,4,,,,7,,,,,
6:15:25,af,,,,,,,,,,,,,
6:15:26,,af,,h,,5,,,7,,,,,
,,,,,,,,,,a,ff1,1,,
,,,,,,,,,,,,,13,
6:33:00,fs,fs,,,,,,,,,,,,
6:33:01,,,,,,,,,,,,,,
6:33:02,,,,,,,,,,,,,,
6:33:03,,,,,,,,,,,,,,
6:33:04,,,,,,,,,,,,,,
6:33:05,,,,,,,,,,,,,,
6:33:06,,,,,,,,,,,,,,
6:33:07,,,,,,,,,,,,,,
6:33:08,,,,,,,,,,,,,,
6:33:09,,,,,,,,,,,,,,
6:33:10,,ff,,,,,,,,,,,,
6:33:11,ff,as,,,,,,,,,,,,
6:33:12,as,,,,,,,,,,,,,
6:33:13,,,,,,,,,,,,,,
6:33:14,,,,,,,,,,,,,,
6:33:15,,,,,,,,,,,,,,
6:33:16,,,,,,,,,,,,,,
6:33:17,,,,,,,,,,,,,,
6:33:18,,,as,as,,,,,,,,,,
6:33:19,,,,,,,,,,,,,,
6:33:20,,,,,,,,,,,,,,
6:33:21,,,,,,,,,,,,,,
6:33:22,,,,h,,4,,,7,,,,,
6:33:23,af,af,h,,4,,,,7,,,,,
,,,,,,,,,,a,ff2,2,,
,,,,,,,,,,,,,14,
6:46:18,fs,fs,,,,,,,,,,,,
6:46:19,,,,,,,,,,,,,,
6:46:20,,,,,,,,,,,,,,
6:46:21,,,,,,,,,,,,,,
6:46:22,,,,,,,,,,,,,,
6:46:23,,,,,,,,,,,,,,
6:46:24,,,,,,,,,,,,,,
6:46:25,,,,,,,,,,,,,,
6:46:26,,,,,,,,,,,,,,
6:46:27,,,,,,,,,,,,,,
6:46:28,,,,,,,,,,,,,,
6:46:29,ff,ff,,,,,,,,,,,,
6:47:00,fs,fs,,,,,,,,,,,,
6:47:01,,,,,,,,,,,,,,
6:47:02,,,,,,,,,,,,,,
6:47:03,,,,,,,,,,,,,,
6:47:04,,,,,,,,,,,,,,
6:47:05,,,,,,,,,,,,,,
6:47:06,,ff,,,,,,,,,,,,
6:47:07,,bs,,,,,,,,,,,,
6:47:08,,,,,,,,,,,,,,
6:47:09,ff,,,,,,,,,,,,,
6:47:10,bs,,,,,,,,,,,,,
6:47:11,,,,,,,,,,,,,,
6:47:12,,,,,,,,,,,,,,
6:47:13,,bf,,,,,,,,,,,,
6:47:14,,fs,,,,,,,,,,,,
